,Player Number,Player Name,Player Position,Player Bithday,place of Birth,Player Images
0,1,Alisson Becker,GOALKEEPERS,2/10/1992,Novo Hamburgo,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125131_misc_general_500.jpeg
1,13,Adrian,GOALKEEPERS,3/1/1987,Seville,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125139_misc_general_500.jpeg
2,22,Loris Karius,GOALKEEPERS,22/6/93,Biberach,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125146_misc_general_500.jpeg
3,62,Caoimhin Kelleher,GOALKEEPERS,23/11/98,Cork,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125134_misc_general_500.jpeg
4,97,Marcelo Pitaluga,GOALKEEPERS,20/12/02,Brazil,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/23/thumb_122933_misc_general_500.jpeg
5,4,Virgil van Dijk,DEFENDERS,8/7/1991,Breda,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125163_misc_general_500.jpeg
6,5,Ibrahima Konate,DEFENDERS,25/5/99,Paris,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125140_misc_general_500.jpeg
7,12,Joe Gomez,DEFENDERS,23/5/97,Catford,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125142_misc_general_500.jpeg
8,21,Kostas Tsimikas,DEFENDERS,12/5/1996,Thessaloniki,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125145_misc_general_500.jpeg
9,26,Andy Robertson,DEFENDERS,11/3/1994,Glasgow,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/27/thumb_126368_misc_general_500.jpeg
10,32,Joel Matip,DEFENDERS,8/8/1991,Bochum,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125143_misc_general_500.jpeg
11,46,Rhys Williams,DEFENDERS,3/2/2001,Preston,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125151_misc_general_500.jpeg
12,66,Trent Alexander-Arnold,DEFENDERS,7/10/1998,Liverpool,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125156_misc_general_500.jpeg
13,3,Fabinho,MIDFIELDERS,23/10/93,Campinas,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125164_misc_general_500.jpeg
14,6,Thiago Alcantara,MIDFIELDERS,11/4/1991,Italy,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125155_misc_general_500.jpeg
15,7,James Milner,MIDFIELDERS,4/1/1986,Horsforth,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125141_misc_general_500.jpeg
16,8,Naby Keita,MIDFIELDERS,10/2/1995,Conakry,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125162_misc_general_500.jpeg
17,14,Jordan Henderson,MIDFIELDERS,17/6/90,Sunderland,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125161_misc_general_500.jpeg
18,15,Alex Oxlade-Chamberlain,MIDFIELDERS,15/8/93,Portsmouth,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125130_misc_general_500.jpeg
19,17,Curtis Jones,MIDFIELDERS,30/1/01,Liverpool,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/26/thumb_125135_misc_general_500.jpeg
